,from_funder_name,to_project_name,amount,funding_date,grant_pool_name,metadata
46,clrfund,,313.97723798523737,07/18/2023,round_9,"{""project_name"": ""Stereum"", ""project_url"": ""https://stereum.net/"", ""funder_address"": ""0x806F08B7DD31fE0267e8c70C4bF8C4BfbBddE760"", ""funding_currency"": ""DAI"", ""funding_network"": ""Arbitrum""}"
47,clrfund,,275.92929647746627,07/18/2023,round_9,"{""project_name"": ""Ethereum Colombia"", ""project_url"": ""https://ethcolombia.co/"", ""funder_address"": ""0x806F08B7DD31fE0267e8c70C4bF8C4BfbBddE760"", ""funding_currency"": ""DAI"", ""funding_network"": ""Arbitrum""}"
48,clrfund,,256.80702605503785,07/18/2023,round_9,"{""project_name"": ""Blockscout"", ""project_url"": ""https://www.blockscout.com/"", ""funder_address"": ""0x806F08B7DD31fE0267e8c70C4bF8C4BfbBddE760"", ""funding_currency"": ""DAI"", ""funding_network"": ""Arbitrum""}"
49,clrfund,,251.75310016040973,07/18/2023,round_9,"{""project_name"": ""TrueBlocks"", ""project_url"": ""https://trueblocks.io/"", ""funder_address"": ""0x806F08B7DD31fE0267e8c70C4bF8C4BfbBddE760"", ""funding_currency"": ""DAI"", ""funding_network"": ""Arbitrum""}"
50,clrfund,,219.18985355858973,07/18/2023,round_9,"{""project_name"": ""FundPG"", ""project_url"": ""https://fundpg.xyz/about"", ""funder_address"": ""0x806F08B7DD31fE0267e8c70C4bF8C4BfbBddE760"", ""funding_currency"": ""DAI"", ""funding_network"": ""Arbitrum""}"
51,clrfund,,219.09149200491717,07/18/2023,round_9,"{""project_name"": ""Ethereum Dominicana"", ""project_url"": ""https://ethdom.eth.limo/"", ""funder_address"": ""0x806F08B7DD31fE0267e8c70C4bF8C4BfbBddE760"", ""funding_currency"": ""DAI"", ""funding_network"": ""Arbitrum""}"
52,clrfund,,200.28057839226736,07/18/2023,round_9,"{""project_name"": ""Aestus Relay"", ""project_url"": ""https://aestus.live/"", ""funder_address"": ""0x806F08B7DD31fE0267e8c70C4bF8C4BfbBddE760"", ""funding_currency"": ""DAI"", ""funding_network"": ""Arbitrum""}"
53,clrfund,,177.43245428717887,07/18/2023,round_9,"{""project_name"": ""Smoothly Protocol"", ""project_url"": ""https://0xsmoothly.notion.site/"", ""funder_address"": ""0x806F08B7DD31fE0267e8c70C4bF8C4BfbBddE760"", ""funding_currency"": ""DAI"", ""funding_network"": ""Arbitrum""}"
54,clrfund,,173.6732332126383,07/18/2023,round_9,"{""project_name"": ""Signless"", ""project_url"": ""https://signless.xyz/"", ""funder_address"": ""0x806F08B7DD31fE0267e8c70C4bF8C4BfbBddE760"", ""funding_currency"": ""DAI"", ""funding_network"": ""Arbitrum""}"
55,clrfund,,167.62113743171673,07/18/2023,round_9,"{""project_name"": ""Ethereum Paraguay"", ""project_url"": ""https://twitter.com/ethparaguay"", ""funder_address"": ""0x806F08B7DD31fE0267e8c70C4bF8C4BfbBddE760"", ""funding_currency"": ""DAI"", ""funding_network"": ""Arbitrum""}"
