,project,link,amount,tags,dune_namespace,oso_name
122,Synthetix,https://vote.optimism.io/retropgf/3/application/0x6ae2bf87fcbddb4d715add72ea987fcb9537ec19e3f859befeebeed533144e73,99379.28,RetroPGF3,Synthetix,synthetix
123,Synthetix,https://gov.optimism.io/t/gf-phase-0-proposal-synthetix/1381,9000000.0,"Grants Season 1, Cycle 1 (Phase 0), Incentive Program Launched",Synthetix,synthetix
124,Tarot,https://gov.optimism.io/t/review-gf-phase-1-voting-cycle-7-tarot/3567,540000.0,"Grants Season 2, Cycle 7 (Phase 1)",Tarot Finance,tarot-finance
125,Overtime Markets,https://gov.optimism.io/t/review-gf-phase-1-voting-cycle-7-overtime-markets/3579,300000.0,"Grants Season 2, Cycle 7 (Phase 1)",Thales,thales
126,Thales,https://gov.optimism.io/t/gf-phase-0-proposal-thales/1078/2,900000.0,"Grants Season 1, Cycle 1 (Phase 0), Incentive Program Launched",Thales,thales
127,Thales,https://gov.optimism.io/t/draft-gf-phase-1-proposal-thales/4984,250000.0,"Grants Season 3, Cycle 10",Thales,thales
128,Threshold,https://gov.optimism.io/t/draft-gf-phase-1-growth-experiments-grant-btc-holders-bridge-to-ethereum-in-a-trust-minimized-way/5638,200000.0,"Grants Season 3, Cycle 11",Threshold Network,threshold-network
129,Tide protocol Growth Campaigns,https://app.charmverse.io/op-grants/proposals?id=d438c900-8247-45aa-9193-f398c22cf1fb,40000.0,"Grants Season 4, Cycle 13, Growth Grant",Tide Protocol,tide-protocol-fiveelementslabs
130,Umbra,https://vote.optimism.io/retropgf/3/application/0x617e15a1edc68034cac85db6f0a4d3bb55418761ab7ba4fe26423c3806ff20e6,74534.46,RetroPGF3,Umbra,umbra-scopelift
131,Uniswap V3,https://gov.optimism.io/t/gf-phase-0-proposal-uniswap/2133/5,1000000.0,"Grants Season 1, Cycle 1 (Phase 0), Incentive Program Launched",Uniswap,uniswap
132,Patrick Workman,https://vote.optimism.io/retropgf/3/application/0xba60fee29d573acf227ffb4dd7bc8f44371cf226b37ce28efe413a082f23e53b,60616.89,RetroPGF3,Unlock Protocol,unlock-protocol
133,VMEX Finance,https://vote.optimism.io/retropgf/3/application/0xcd17447eb2b8a5332630662c3bcf6a4da4ad8213c643621536d40655340c7f84,0.0,RetroPGF3,VMEX Finance,vmex-finance
134,Velodrome,https://vote.optimism.io/retropgf/3/application/0xb223887547f0bd1560b4e472a18da5f8733792b7e334bf8009dd36346b91a8f8,99379.28,RetroPGF3,Velodrome,velodrome
135,Velodrome,https://gov.optimism.io/t/ready-gf-phase-1-proposal-velodrome-finance/3736,4000000.0,"Grants Season 2, Cycle 8 (Phase 1)",Velodrome,velodrome
136,Velodrome Finance,https://app.charmverse.io/op-grants/proposals?id=41a63476-0515-4b94-b1fc-c57b3145fcd3,150000.0,"Grants Season 4, Cycle 13, Growth Grant",Velodrome,velodrome
137,Velodrome Finance,https://app.charmverse.io/op-grants/page-04321665122632923,210000.0,"Grants Season 4, Cycle 15, Growth Grant",Velodrome,velodrome
138,Velodrome: Fostering Inclusive Governance through Leading Optimism Builders and Long-term Users,https://gov.optimism.io/t/final-velodrome-fostering-inclusive-governance-through-leading-optimism-builders-and-long-term-users/6186,350000.0,"Missions Season 4, Cycle 13, Intent 4, Phoenix, Builders Grant",Velodrome,velodrome
139,Velodrome: Fostering Inclusive Governance through Leading Optimism Builders and Long-term Users,https://gov.optimism.io/t/final-velodrome-fostering-inclusive-governance-through-leading-optimism-builders-and-long-term-users/6186,650000.0,"Missions Season 4, Cycle 13, Intent 4, Phoenix",Velodrome,velodrome
140,Velodrome: Spread Awareness Through Direct Outreach and Onboarding,https://gov.optimism.io/t/final-velodrome-spread-awareness-through-direct-outreach-and-onboarding/6180,100000.0,"Missions Season 4, Cycle 13, Intent 3, Phoenix",Velodrome,velodrome
141,Vesper,https://gov.optimism.io/t/ready-vesper-finance/5389,75000.0,"Grants Season 3, Cycle 11",Vesper,vesper
142,Via Protocol,https://gov.optimism.io/t/gf-phase-1-proposal-via-protocol/4917,250000.0,"Grants Season 3, Cycle 10",Via Protocol,via-protocol
143,WardenSwap,https://gov.optimism.io/t/ready-gf-phase-1-proposal-wardenswap/2712,300000.0,"Grants Season 1, Cycle 2 (Phase 1)",WardenSwap,warden-swap
144,Wepiggy,https://gov.optimism.io/t/gf-phase-0-proposal-wepiggy/437/5,300000.0,"Grants Season 1, Cycle 1 (Phase 0), Incentive Program Launched",WePiggy,we-piggy
145,Wombat Exchange,https://app.charmverse.io/op-grants/page-836663139821324,150000.0,"Grants Season 4, Cycle 14, Growth Grant",Wombat Exchange,wombat-exchange
146,Yearn,https://vote.optimism.io/retropgf/3/application/0x4b73a8f4d2e3bf2f6cff7ae014b13fdf8a85d0b33064127e53b81b2b7d365652,99379.28,RetroPGF3,Yearn,yearn
147,Yearn,https://gov.optimism.io/t/ready-gf-phase-1-proposal-yearn/3509/6,1000000.0,"Grants Season 2, Cycle 7 (Phase 1)",Yearn,yearn
148,0x,https://gov.optimism.io/t/gf-phase-0-proposal-0x-zeroex/1299/6,300000.0,"Grants Season 1, Cycle 1 (Phase 0)","Zeroex (0x), zeroex",zeroex
149,ZORA,https://vote.optimism.io/retropgf/3/application/0x0bcd7e1f59a78a15a8c481244aaba93b7f690aaece04ffc6e4a55e282afa309c,99379.28,RetroPGF3,Zora,zora
